season,name22,Overall_YEAR
2011,Dinamo Moscow,1.0
2011,Rostov,0.0
2012,AC Milan,0.18505772814869953
2012,AS Roma,0.1166796609081888
2012,AZ,0.04725774959824653
2012,Ajax,0.1733001167516918
2012,Anderlecht,0.023879989797782622
2012,Arsenal,0.2615024357547175
2012,Atalanta,0.10169809797601488
2012,Athletic Bilbao,0.00512613562043591
2012,Barcelona,0.3674494382218779
2012,Bayer Leverkusen,0.1353596311725585
2012,Bayern Munich,1.0
2012,Bordeaux,0.026442905280892708
2012,Borussia Dortmund,0.45457948951243715
2012,Borussia Monchengladbach,0.1460753260228138
2012,CSKA Moscow,0.01166070057101924
2012,Celtic,0.07516213027509143
2012,Chelsea,0.206866393061316
2012,Club Brugge,0.0
2012,Dinamo Moscow,0.008991610167238241
2012,Eintracht Frankfurt,0.12171414864880487
2012,Everton,0.11250992306908496
2012,FC Augsburg,0.09340586955534372
2012,FC Groningen,0.030404320227296378
2012,FC Twente,0.037869474047045056
2012,FC Utrecht,0.035798672492551635
2012,Fenerbahce,0.04212609745028228
2012,Feyenoord,0.057099482665679
2012,Fiorentina,0.09724567527921493
2012,Galatasaray,0.11618291292625225
2012,Internazionale,0.14504393334442975
2012,Juventus,0.2941171760906042
2012,Lazio,0.15518081769712788
2012,Lille,0.07928646941207705
2012,Liverpool,0.23604956619010106
2012,Lokomotiv Moscow,0.009099020830358595
2012,Lyon,0.07007219372276674
2012,Mainz,0.09850466789736434
2012,Manchester City,0.3126838048847357
2012,Manchester United,0.26343330424812245
2012,Marseille,0.06073656694485031
2012,Napoli,0.1382055254887602
2012,Nice,0.03011219180114417
2012,PSV,0.07349656428180923
2012,Panathinaikos,0.0056974299513148086
2012,Paris Saint-Germain,0.18517142653057003
2012,Real Madrid,0.43868631862667445
2012,Reims,0.027109231390484496
2012,Rostov,0.004711676881315925
2012,SC Freiburg,0.0964282625549046
2012,Sampdoria,0.06477482599007145
2012,Schalke 04,0.15162356714456787
2012,Southampton,0.10227386394305817
2012,Spartak Moscow,0.04892280110007944
2012,Swansea City,0.09670613261563421
2012,Torino,0.07113127047509157
2012,Tottenham Hotspur,0.2235579389305721
2012,Udinese,0.08604755366105683
2012,Valencia,0.07173265296399318
2012,VfB Stuttgart,0.10658225129943558
2012,VfL Wolfsburg,0.11662099563956203
2012,Vitesse,0.037009426717292536
2012,West Ham United,0.1292456270109373
2012,Wigan,0.0723809918463308
2012,Zenit St. Petersburg,0.06226094662296267
2013,AC Milan,0.3442015619266716
2013,AS Monaco,0.10681522547485517
2013,AS Roma,0.1921930307787979
2013,AZ,0.08677405759008049
2013,Ajax,0.25045605372704977
2013,Anderlecht,0.028426369665740366
2013,Arsenal,0.47945313579900534
2013,Atalanta,0.16738215201362847
2013,Atletico Madrid,1.0
2013,Atromitos,0.00160209806162779
2013,Barcelona,0.31522797901063654
2013,Bayer Leverkusen,0.3304999521921358
2013,Bayern Munich,0.9756910326604027
2013,Bordeaux,0.055867932929745776
2013,Borussia Dortmund,0.5562984027920969
2013,Borussia Monchengladbach,0.17873829215506154
2013,CSKA Moscow,0.08635362591378462
2013,Celtic,0.10379054026300605
2013,Chelsea,0.6890669403923998
2013,Dinamo Moscow,0.015971420932941016
2013,Eintracht Frankfurt,0.19427439124937165
2013,Everton,0.17356503197281892
2013,FC Augsburg,0.14328145843510898
2013,FC Groningen,0.05303744740439027
2013,FC Twente,0.06601859487110268
2013,FC Utrecht,0.06241768040875588
2013,Feyenoord,0.09945763493538924
2013,Fiorentina,0.1928851642994813
2013,Galatasaray,0.11947795631454729
2013,Go Ahead Eagles,0.06040578441699025
2013,Guingamp,0.04571016800787304
2013,Hull City,0.13003693269293015
2013,Internazionale,0.1995919259748651
2013,Juventus,0.42027470428339186
2013,Lazio,0.16155876051844234
2013,Lille,0.08549034558247046
2013,Liverpool,0.3142712239711498
2013,Lokomotiv Moscow,0.017623387175583614
2013,Lyon,0.18355086826616443
2013,Mainz,0.15088113954155866
2013,Manchester City,0.4856469072509126
2013,Manchester United,0.490995051173125
2013,Marseille,0.18984821726388787
2013,Nantes,0.05601830010167032
2013,Napoli,0.3268495524710556
2013,Nice,0.06684174454083024
2013,PSV,0.10340893850813707
2013,Paris Saint-Germain,0.36185711827862055
2013,Real Betis,0.03984686093248915
2013,Real Madrid,0.649733033988955
2013,Real Sociedad,0.05176431431734334
2013,Reims,0.059680357887593814
2013,Rostov,0.01406998388512655
2013,SC Freiburg,0.16384927422985954
2013,SV Zulte Waregem,5.999365817724779e-19
2013,Sampdoria,0.10623373719175205
2013,Sassuolo,0.1245450869577277
2013,Schalke 04,0.2630939768019901
2013,Sevilla FC,0.14732012578946205
2013,Southampton,0.1583083420771877
2013,Spartak Moscow,0.014791874404728437
2013,Swansea City,0.17073957228112624
2013,Torino,0.11676060773318758
2013,Tottenham Hotspur,0.2557738049600943
2013,Trabzonspor,0.024519058131747776
2013,Udinese,0.11970097714367284
2013,Valencia,0.11057600991998918
2013,VfB Stuttgart,0.1388433849924113
